Supplier,Total_Invoice_Amount,Total_Invoice_Count,Year,Client
Airgas USA LLC,4229.66,19,2017,equinor
"Airgas USA, LLC",32.95,1,2016,equinor
"AJ's Logistic Services, LLC.",3437190.68,188,2015,equinor
"AJ's Logistic Services, LLC.",2975459.72,201,2016,equinor
"AJ's Logistic Services, LLC.",5506076.36,308,2017,equinor
"AJ's Logistic Services, LLC.",3584789.14,409,2018,equinor
Alaska Green Connection Inc.,792,12,2015,equinor
Alaska Oil and Gas Association,90203,4,2015,equinor
Alaska Resource Education,2000,1,2015,equinor
Alaskan Energy Resources Inc.,77241,31,2015,equinor
Alaskan Energy Resources Inc.,9368,4,2016,equinor
"Alco Fence Company of Central WV, I",172204.5,10,2015,equinor
"Alco Fence Company of Central WV, I",20556,2,2016,equinor
"Alco Valves US, Inc",5053,1,2015,equinor
Alexander Mann Solutions Corporatio,1232167,23,2015,equinor
Alexander Mann Solutions Corporatio,1005442,34,2016,equinor
Alexander Mann Solutions Corporatio,1180878,18,2017,equinor
Alexander Mann Solutions Corporatio,1454733,16,2018,equinor
Alexander/Ryan Marine &,65666.63,5,2017,equinor
Alexander/Ryan Marine &,13246.2,5,2018,equinor
Alfa Laval Inc,21956.98,2,2017,equinor
"Align Strategic Partners, LLC",740473.89,453,2015,equinor
"Align Strategic Partners, LLC",294286.35,192,2016,equinor
All Seasons Corporation,883.17,1,2017,equinor
All Seasons Corporation,4897.09,6,2018,equinor
"Allen & Kirmse, Ltd",24412.5,6,2016,equinor
"Allen & Kirmse, Ltd",61189.25,16,2017,equinor
"Allen & Kirmse, Ltd",87449.6,23,2018,equinor
Alliance for Clean Energy New York,110000,4,2017,equinor
Alliance for Clean Energy New York,60000,2,2018,equinor
Alliance for Sustainable Energy LLC,1717347.07,7,2016,equinor
Alliance for Sustainable Energy LLC,2072616.19,17,2017,equinor
Alliance for Sustainable Energy LLC,2716195.83,19,2018,equinor
"Allied Oil & Gas Services, LLC",1115919.04,53,2015,equinor
Allround Automations,828,1,2016,equinor
Allround Automations,194.85,1,2017,equinor
Allround Automations,180,1,2018,equinor
Allstream Technical Consultants Inc,3866.4,1,2018,equinor
Almquist Welding And Fab,35641,42,2015,equinor
"Alpine Ocean Seismic Survey, Inc.",6435902.98,8,2018,equinor
Altus Intervention USA Inc.,15200,1,2018,equinor
Alvarez & Marsal Global Forensic,210506.19,4,2018,equinor
Alvin's Limousine Services LLc,3499,5,2015,equinor
Alvin's Limousine Services LLc,3959,8,2016,equinor
Alvin's Limousine Services LLc,408,5,2017,equinor
Alvin's Limousine Services LLc,5142,14,2018,equinor
Amazon Web Services LLC,18885.15,6,2016,equinor
Amazon Web Services LLC,6659.82,15,2017,equinor
Amazon Web Services LLC,441.7,1,2018,equinor
Ambius,1253.53,4,2015,equinor
Ambius,1331.46,4,2016,equinor
Ambius,2275.64,5,2017,equinor
Ambius,1701.33,3,2018,equinor
Ambyint Corporation,454261.12,7,2018,equinor
AMEC Foster Wheeler Environment &,34040,1,2015,equinor
"American Assoc of Prof. Landmen, In",10000,1,2018,equinor
American Bureau of Shipping - Ameri,3393,1,2017,equinor
American Bureau of Shipping - Ameri,108844.6,7,2018,equinor
"American Casing And Equipment, Inc",1744928.17,201,2015,equinor
"American Casing And Equipment, Inc",366221,47,2016,equinor
"American Casing And Equipment, Inc",76719,13,2017,equinor
"American Eagle Logistics, LLC",333155.01,292,2015,equinor
"American Eagle Logistics, LLC",14311.55,31,2016,equinor
"American Eagle Logistics, LLC",37794.61,20,2017,equinor
"American Eagle Logistics, LLC",126082.75,149,2018,equinor
American Endowment Foundation,61442.62,2,2017,equinor
"American Engineering Testing, Inc",220795.25,57,2015,equinor
"American Engineering Testing, Inc",59283.68,10,2016,equinor
"American Engineering Testing, Inc",110402.14,22,2017,equinor
"American Engineering Testing, Inc",468098.38,94,2018,equinor
American Erecting Company,0,4,2016,equinor
American Interests,6010,4,2016,equinor
American Oil Tools LLC,303344.2,92,2015,equinor
American Oil Tools LLC,132342.32,53,2016,equinor
American Oil Tools LLC,216881.5,64,2017,equinor
American Oil Tools LLC,71838.03,21,2018,equinor
"American Online Giving Foundation,",306744.29,10,2017,equinor
"American Online Giving Foundation,",169985.25,12,2018,equinor
American Petroleum Institute,1670324,6,2015,equinor
American Petroleum Institute,1625170,7,2016,equinor
American Petroleum Institute,1358051,7,2017,equinor
American Petroleum Institute,1805755,5,2018,equinor
"American Recovery, LLC",108640.55,90,2015,equinor
"American Recovery, LLC",63190.68,46,2016,equinor
"American Well Service, Inc.",1247516.62,34,2018,equinor
American Wind Energy Association,20000,1,2017,equinor
American Wind Energy Association,2500,1,2018,equinor
"Ameripride Services, Inc.",5533.29,52,2015,equinor
"Ameripride Services, Inc.",6532.67,76,2016,equinor
"Ameripride Services, Inc.",1714.33,21,2017,equinor
"Ameripride Services, Inc.",14675.65,139,2018,equinor
Ames Water Depots,497666.65,3,2015,equinor
AMS - PAR Consultants,98154.75,4,2016,equinor
AMS - PAR Consultants,75358.47,7,2017,equinor
AMS - PAR Consultants,85490.22,8,2018,equinor
Amspec L.L.C.,37166.62,9,2015,equinor
Amspec L.L.C.,10549.83,3,2016,equinor
Amspec L.L.C.,2040.66,3,2017,equinor
Amspec L.L.C.,88949.31,108,2018,equinor
"Anchor Drilling Fluids Usa, Inc.",2314174.16,42,2015,equinor
Anderson Oilfield Specialty L.P.,35410.85,115,2015,equinor
Andrews Kurth LLP,1667977.22,22,2015,equinor
Andrews Kurth LLP,1251174.56,21,2016,equinor
Andrews Kurth LLP,268927.21,24,2017,equinor
Andrews Kurth LLP,42832.38,7,2018,equinor
Annie Oakley Pest Control LLC,2073.02,8,2016,equinor
Annie Oakley Pest Control LLC,8592.45,24,2017,equinor
Annie Oakley Pest Control LLC,10094.38,32,2018,equinor
Answer Vending Inc.,1394.5,14,2015,equinor
Answer Vending Inc.,1101.87,13,2016,equinor
Answer Vending Inc.,677.98,10,2017,equinor
Answer Vending Inc.,319.58,5,2018,equinor
Antler Oilfield Services Inc,3841861.55,307,2015,equinor
Antler Oilfield Services Inc,4390631.89,121,2016,equinor
Antler Oilfield Services Inc,6247630.5,428,2017,equinor
Antler Oilfield Services Inc,4586230.94,347,2018,equinor
"Aon Consulting, Inc.",1600,1,2017,equinor
"Aon Consulting, Inc.",1600,1,2018,equinor
"Aon Risk Services Southwest, Inc.",16290340.48,27,2015,equinor
"Aon Risk Services Southwest, Inc.",12245478.3,28,2016,equinor
"Aon Risk Services Southwest, Inc.",10833361.9,59,2017,equinor
"Aon Risk Services Southwest, Inc.",16393218.02,69,2018,equinor
APEM Inc.,673936.5,12,2018,equinor
Apex Remington Inc.,271420.35,118,2015,equinor
Apex Remington Inc.,72815.61,61,2016,equinor
Apex Remington Inc.,258894.04,125,2017,equinor
Apex Remington Inc.,704165.16,510,2018,equinor
API Control System Solutions Inc.,40194.9,4,2015,equinor
API Control System Solutions Inc.,31554.83,1,2016,equinor
