Supplier,Total_Invoice_Amount,Total_Invoice_Count,Year,Client
"Jacam Chemical Co. 2013, LLC",2154886.84,394,2018,equinor
Jack Hoffman Investments LLLP,100000,1,2017,equinor
"JackRabbit Services, LLC",19600,10,2016,equinor
"JackRabbit Services, LLC",31609,12,2017,equinor
"JackRabbit Services, LLC",39061,16,2018,equinor
Jackson Lewis LLP,155340,26,2018,equinor
Jacobs Consultancy INC.,5000,1,2018,equinor
"Jake's Garage, Inc",101572.7,23,2015,equinor
"Jake's Garage, Inc",15471.4,6,2016,equinor
Jakob Hatteland Solutions AS,125158,1,2016,equinor
James Daniel,4254,2,2017,equinor
James Daniel,5104.8,1,2018,equinor
Jandt Services LLC,2396495.54,229,2015,equinor
Jandt Services LLC,695049.62,54,2016,equinor
JATCO inc,2275.06,1,2017,equinor
"JBP Security Systems, Inc.",3515.93,1,2015,equinor
"JBP Security Systems, Inc.",3956.22,2,2016,equinor
"JBP Security Systems, Inc.",4291.23,2,2017,equinor
"JBP Security Systems, Inc.",5513.18,2,2018,equinor
"JC Fodale Energy Services, LLC",2001.57,3,2016,equinor
"JCC Services, Inc.",0,2,2017,equinor
JDA Professional Services Inc,250882.5,22,2015,equinor
Jeff O'Connell,955,1,2015,equinor
"Jefferies & Company, Inc",1535839.46,1,2016,equinor
"Jeff-Net, LLC",3247.5,1,2016,equinor
"Jeff-Net, LLC",1891.06,2,2017,equinor
"Jericho Partners, LLC",2195140.67,34,2015,equinor
"Jericho Partners, LLC",555085.72,103,2016,equinor
"Jericho Partners, LLC",1007056.53,243,2017,equinor
"Jericho Partners, LLC",1062548.67,149,2018,equinor
Jerry's Services,441797.04,22,2015,equinor
Jerry's Services,149801.52,31,2016,equinor
"Jet Specialty, Inc.",295029.75,6,2015,equinor
"Jet Specialty, Inc.",36531.04,2,2016,equinor
"Jet Specialty, Inc.",222508.95,2,2017,equinor
"Jet Specialty, Inc.",134510.82,5,2018,equinor
"Jetsoft Group, Inc. d/b/a 4castplus",50481.42,3,2016,equinor
"Jetsoft Group, Inc. d/b/a 4castplus",79212.89,11,2017,equinor
"Jetsoft Group, Inc. d/b/a 4castplus",62261.4,6,2018,equinor
Jim Lein Services,1713.06,2,2015,equinor
"Jim Wilson Contract Pumping, Inc.",103958.5,35,2015,equinor
"Jim Wilson Contract Pumping, Inc.",29600,9,2016,equinor
"Jimenez Contract Services, LLC",109023.99,1,2015,equinor
JK Foods Inc,19753.49,8,2015,equinor
JK Foods Inc,5796.16,2,2016,equinor
JK Foods Inc,69329.58,174,2017,equinor
JK Foods Inc,30074.2,87,2018,equinor
"JL Office Tower, LLC",207861.49,26,2015,equinor
"JL Office Tower, LLC",59806.45,6,2016,equinor
JLE Energy,39669.25,18,2018,equinor
JLE Industries LLC,8670,6,2016,equinor
JLE Industries LLC,130857.15,23,2017,equinor
JLE Industries LLC,67150.5,6,2018,equinor
JLG Architects,3250,1,2017,equinor
JLG Architects,3518.13,1,2018,equinor
JMAC Resources Inc,14772718.43,977,2015,equinor
JMAC Resources Inc,2963774.89,227,2016,equinor
JMAC Resources Inc,8066318.06,497,2017,equinor
JMAC Resources Inc,10609770.25,568,2018,equinor
John & Hengerer LLP,11007.6,12,2018,equinor
John Crane Inc.,2289.84,1,2016,equinor
John Crane Inc.,47095.05,17,2017,equinor
John F. Watson & Company,171016.29,64,2017,equinor
John F. Watson & Company,157403.6,54,2018,equinor
John L. Wortham & Son L.P.,779749,3,2015,equinor
John L. Wortham & Son L.P.,932511,7,2016,equinor
John Mini,3385.21,4,2015,equinor
John Mini,3391.72,4,2016,equinor
John Mini,3448.24,4,2017,equinor
John Mini,3448.24,4,2018,equinor
John W. Stone Oil Distributor L.L.C,130.78,3,2017,equinor
John W. Stone Oil Distributor L.L.C,472.5,5,2018,equinor
Johnathan E. Murphy,400,1,2015,equinor
Johnson Matthey Inc. dba Traceco,137030,1,2017,equinor
Johnson Portable Welding,88509,51,2015,equinor
Johnson Portable Welding,76662.5,83,2016,equinor
Johnson Portable Welding,79850,75,2017,equinor
Johnson Portable Welding,89655,79,2018,equinor
Jones Walker,233897.76,12,2016,equinor
Jones Walker,441533.83,14,2017,equinor
Jordan Technologies LLC,47812.5,4,2015,equinor
Jordan Technologies LLC,8907.79,5,2016,equinor
Jordan Technologies LLC,681.64,1,2017,equinor
Jordan Technologies LLC,5269.25,1,2018,equinor
"Jory L Bernard, LLC",21550,1,2017,equinor
Joy Exterminating CO LLC,318,3,2015,equinor
Joy Exterminating CO LLC,106,1,2016,equinor
JS ASSESSORIA ADUANEIRA LTDA,0,2,2018,equinor
JSH Services,709000,36,2015,equinor
JSH Services,373750,18,2016,equinor
JSH Services,385000,22,2017,equinor
JSH Services,812415,42,2018,equinor
Judy L. Hayslett,2470,21,2015,equinor
Junior Achievement,0,2,2018,equinor
J-W Measurement Company,101562.64,55,2015,equinor
J-W Measurement Company,187168.56,6,2016,equinor
"K & K Oilfield Outfitters, LLC",36720,8,2015,equinor
"K & K Oilfield Outfitters, LLC",64199.51,63,2018,equinor
K&F Excavating LLC,159091.35,5,2018,equinor
K&S Brady Construction LLC,89361,2,2015,equinor
K&S Brady Construction LLC,12880,3,2016,equinor
"K. Camp & Associates, Inc.",23521.84,12,2015,equinor
"K. Camp & Associates, Inc.",5028.39,3,2016,equinor
K.E. Andrews & Company,101910,9,2015,equinor
K.E. Andrews & Company,97927.5,7,2016,equinor
K.E. Andrews & Company,75492.5,1,2017,equinor
"K11 Partners, LLC",336491.89,12,2015,equinor
"K11 Partners, LLC",352481.15,12,2016,equinor
"K11 Partners, LLC",366085.56,12,2017,equinor
"K11 Partners, LLC",355254.98,14,2018,equinor
K-3 Resources LP,947127.07,261,2015,equinor
K-3 Resources LP,188757.84,54,2016,equinor
K-3 Resources LP,215507.25,71,2017,equinor
K-3 Resources LP,1068963.83,165,2018,equinor
Kadrmas Lee And Jackson Inc,914240.59,775,2015,equinor
Kadrmas Lee And Jackson Inc,519589.4,269,2016,equinor
Kadrmas Lee And Jackson Inc,501645.63,225,2017,equinor
Kadrmas Lee And Jackson Inc,436445,221,2018,equinor
"Kaeser Compressors, Inc.",43306.65,19,2017,equinor
"Kaeser Compressors, Inc.",33436.03,14,2018,equinor
Kajun Independent Thread Reps Inc,75055.75,15,2016,equinor
Kane Environmental Engineering Inc,59876.41,42,2015,equinor
"Karnes Electric Cooperative, Inc.",30090.76,14,2015,equinor
"Karnes Electric Cooperative, Inc.",255653.74,10,2016,equinor
"Karnes Electric Cooperative, Inc.",361789.53,23,2017,equinor
"Karnes Electric Cooperative, Inc.",572272.72,28,2018,equinor
KDR Supply Inc.,79634.72,16,2015,equinor
Kean Miller LLP,402416.87,31,2015,equinor
Kean Miller LLP,583049.9,49,2016,equinor
Kean Miller LLP,277499.15,71,2017,equinor
Kean Miller LLP,194635.96,46,2018,equinor
"Keane Frac, LP",95327.22,19,2017,equinor
"Keane Frac, LP",409484.98,81,2018,equinor
Keitu Engineers And Consultants Inc,122362.91,20,2015,equinor
Keitu Engineers And Consultants Inc,308911.77,30,2016,equinor
Keitu Engineers And Consultants Inc,139987.17,15,2017,equinor
Keitu Engineers And Consultants Inc,68246.45,8,2018,equinor
Kellogg Brown & Root LLC,48500,1,2018,equinor
Kelly Hart & Hallman LLP,73640.85,13,2016,equinor
Kelly Hart & Hallman LLP,2718,3,2017,equinor
"Ken Miller Supply, Inc.",151857.8,24,2017,equinor
"Ken Miller Supply, Inc.",59511.36,3,2018,equinor
"Kenzie & Company, LLC",12519.52,16,2015,equinor
"Key Energy Services, LLC",5032498.73,135,2015,equinor
"Key Energy Services, LLC",1852925.25,57,2016,equinor
"Key Energy Services, LLC",4520247.36,158,2017,equinor
"Key Energy Services, LLC",2342308.8,63,2018,equinor
Keystone Engineering Inc,100817.65,23,2016,equinor
Keystone Engineering Inc,101902.9,46,2017,equinor
Keystone Engineering Inc,5912.45,5,2018,equinor
KHOU-TV,4000,1,2015,equinor
"Kimray, Inc.",1823.25,1,2015,equinor
"Kimray, Inc.",3195.4,4,2017,equinor
Kinder Morgan Tejas Pipeline llc,1206586.1,3,2015,equinor
Kinder Morgan Tejas Pipeline llc,149385,1,2017,equinor
King & Spalding LLP,378523.74,5,2015,equinor
King & Spalding LLP,15193.04,6,2016,equinor
King & Spalding LLP,6349.25,4,2017,equinor
King & Spalding LLP,95854,7,2018,equinor
"Kirby , Matthew & Walrath , PLLC",11673.06,20,2017,equinor
"Kirby , Matthew & Walrath , PLLC",2209.99,4,2018,equinor
Kirkland & Ellis LLP,508403.69,15,2015,equinor
Kirkland & Ellis LLP,138013.74,10,2016,equinor
Kirkland & Ellis LLP,43408.08,3,2017,equinor
Kirkland & Ellis LLP,14155.67,2,2018,equinor
KJBP Corp,3663.26,1,2017,equinor
KJCK Incorporated,75960,87,2015,equinor
KJCK Incorporated,28740,47,2016,equinor
KJCK Incorporated,124932.2,81,2017,equinor
KJCK Incorporated,60805,24,2018,equinor
KLX Energy Services LLC,3644664.06,599,2015,equinor
KLX Energy Services LLC,3778499.68,715,2016,equinor
KLX Energy Services LLC,336547.19,30,2017,equinor
KLX Energy Services LLC,1042125.45,57,2018,equinor
K-Man Glass Corp,2010.02,2,2017,equinor
K-Man Glass Corp,1897.28,1,2018,equinor
Knife River Corporation,600000,2,2015,equinor
Knife River Corporation,948000,1,2016,equinor
Knife River Corporation,280.8,1,2017,equinor
Knight Oil Tools dba Hub City Iron,27080,1,2018,equinor
"Knight Oil Tools, LLC",323032.54,11,2015,equinor
"Knight Oil Tools, LLC",57553.85,29,2016,equinor
"Knight Oil Tools, LLC",60743.12,41,2017,equinor
"Knight Oil Tools, LLC",476283.18,102,2018,equinor
"Kohler Communications of Williston,",921.25,1,2015,equinor
"Kohler Communications of Williston,",1934.05,3,2016,equinor
"Kohler Communications of Williston,",7643.72,3,2018,equinor
"Kongsberg Digital, Inc.",71713.95,1,2018,equinor
Koons Gas Measurement,26211.46,2,2015,equinor
"KorTerra, Inc.",2235,3,2017,equinor
"KorTerra, Inc.",2050,1,2018,equinor
Kotana Communications Inc,41691.24,1,2016,equinor
Kotana Communications Inc,9122.84,4,2017,equinor
Koza's Inc.,1378.89,1,2015,equinor
"KP Cleaning, LLC",98086,34,2015,equinor
"KP Cleaning, LLC",28493,21,2016,equinor
"KP Cleaning, LLC",24832.9,40,2017,equinor
"KP Cleaning, LLC",25862,53,2018,equinor
KPMG AS,64977,1,2015,equinor
KPMG AS,0,6,2017,equinor
KPMG AS,324194.43,1,2018,equinor
KPMG LLP,366356,7,2015,equinor
KPMG LLP,274241.85,7,2016,equinor
KPMG LLP,955207.55,13,2017,equinor
KPMG LLP,1137481.08,13,2018,equinor
"KPMG, L.L.P.",1225066.36,13,2015,equinor
"KPMG, L.L.P.",589527,8,2016,equinor
"KPMG, L.L.P.",889848,8,2017,equinor
"KPMG, L.L.P.",788591.67,8,2018,equinor
Krank'S Landscaping And,450740,77,2015,equinor
Krank'S Landscaping And,174087.5,31,2016,equinor
Krank'S Landscaping And,174722.5,35,2017,equinor
Krank'S Landscaping And,53837.5,8,2018,equinor
"Kristen Dunn Media, LLC",4356.52,12,2018,equinor
Krystal Ice & Water,18814.75,55,2015,equinor
Krystal Ice & Water,32383.31,127,2016,equinor
Krystal Ice & Water,46656.68,176,2017,equinor
Krystal Ice & Water,78316.72,255,2018,equinor
KSW Oilfield Rental,121936.14,40,2015,equinor
KSW Oilfield Rental,59603.74,22,2016,equinor
KSW Oilfield Rental,39379.19,21,2017,equinor
KSW Oilfield Rental,20403.29,7,2018,equinor
Kucera International Inc.,7000,1,2015,equinor
Kuhr Trucking LLC,396073.56,4,2015,equinor
Kværner AS,205550,3,2018,equinor
KW International LLC,523219.73,10,2015,equinor
KW International LLC,267786.79,3,2017,equinor
KW International LLC,434406.65,10,2018,equinor
Kyle Consulting,196000,6,2016,equinor
Kyle Consulting,392891.65,12,2017,equinor
Kyle Consulting,289214,10,2018,equinor
L and L Enterprises,4567.5,2,2015,equinor
LA 1 Coalition,10000,1,2015,equinor
La Cantera Hill Country Resort,108420.25,2,2015,equinor
La Torretta Lake Resort and Spa,35569.51,2,2015,equinor
Labor Law Center,124.75,1,2015,equinor
Labor Law Center,567.59,5,2016,equinor
Labor Law Center,373.84,5,2017,equinor
"Lafayette Paint & Supply, Inc.",49422.81,9,2018,equinor
"Lafayette Steel Erector, Inc.",2931.56,3,2015,equinor
Lafourche Telephone Company LLC,9873.71,9,2015,equinor
Lafourche Telephone Company LLC,13014,12,2016,equinor
Lafourche Telephone Company LLC,12344.93,10,2017,equinor
Lafourche Telephone Company LLC,9773.29,6,2018,equinor
"Lakeview Glass & Mirror, Inc.",985.08,2,2015,equinor
"Lakeview Glass & Mirror, Inc.",773.99,1,2017,equinor
"Lakeview Glass & Mirror, Inc.",1741.33,3,2018,equinor
Lambert Energy Advisory Limited,62500,1,2016,equinor
"Lancaster Flow Automation, LLC",857,3,2016,equinor
"Land Management Services, L.L.C.",416403.79,75,2015,equinor
"Land Management Services, L.L.C.",140552.19,34,2016,equinor
"Land Management Services, L.L.C.",49512.53,19,2017,equinor
"Land Management Services, L.L.C.",2550,1,2018,equinor
Landmark Graphics AS,27280,1,2015,equinor
Landmark Graphics AS,50352.7,5,2016,equinor
Landmark Graphics Corporation,1481650.65,48,2015,equinor
Landmark Graphics Corporation,21714.75,6,2016,equinor
Landmark Graphics Corporation,1044.83,1,2017,equinor
Landmark Graphics Corporation,232196.25,13,2018,equinor
Landtech Enterprises LLC,931.6,5,2015,equinor
"Landtel Communications, LLC",302186.4,106,2015,equinor
"Landtel Communications, LLC",158311.95,40,2016,equinor
"LandTemp, Inc.",82327.92,41,2015,equinor
"LandTemp, Inc.",1090866.84,590,2016,equinor
"LandTemp, Inc.",1756768.3,785,2017,equinor
"LandTemp, Inc.",604529,285,2018,equinor
Larco Ltd.,11400,2,2015,equinor
"Lariat Construction Services, Inc.",178901.05,272,2015,equinor
"Lariat Construction Services, Inc.",265559.46,468,2016,equinor
"Lariat Construction Services, Inc.",396465.84,819,2017,equinor
"Lariat Construction Services, Inc.",22114.15,50,2018,equinor
"Larson Design Group, Inc.",3600758.43,536,2015,equinor
"Larson Design Group, Inc.",980375.37,99,2016,equinor
"Larson Design Group, Inc.",1409421.48,149,2017,equinor
"Larson Design Group, Inc.",2017418.22,204,2018,equinor
Latham & Watkins LLP,114921.8,12,2016,equinor
Latham & Watkins LLP,2880,1,2017,equinor
Law office of,29914.08,1,2016,equinor
Ld Consulting LLC,132174,7,2015,equinor
"L-D Systems, LP",36507.6,11,2015,equinor
"L-D Systems, LP",26354.2,6,2016,equinor
"L-D Systems, LP",28124,5,2017,equinor
"L-D Systems, LP",17585,4,2018,equinor
"LeanKit, Inc.",4104,1,2015,equinor
"LeanKit, Inc.",8484.09,2,2016,equinor
"LeanKit, Inc.",2950.2,2,2017,equinor
LeChase Construction Services LLC,9750.17,1,2018,equinor
Lee Hecht Harrison,18300,12,2017,equinor
Lee Hecht Harrison,24275,17,2018,equinor
"Lee Specialties USA, LLC",564059.62,21,2015,equinor
"Legend Energy Services, LLC",724317.44,48,2015,equinor
"Legend Energy Services, LLC",13574.73,2,2016,equinor
"Legend Energy Services, LLC",181313.68,5,2017,equinor
"Legere Group, LTD",7969,1,2018,equinor
Leggette Brashears And Graham Inc,1360855.7,139,2015,equinor
Leggette Brashears And Graham Inc,473060.93,127,2016,equinor
Leggette Brashears And Graham Inc,207495.17,71,2017,equinor
Leggette Brashears And Graham Inc,58704.83,23,2018,equinor
Lenington & Parrino LLP,482961.14,61,2015,equinor
Lenovo (United States) Inc.,33114.99,2,2015,equinor
Lenovo (United States) Inc.,764.42,1,2017,equinor
Letton-Hall Group LLC,57000,1,2015,equinor
Letton-Hall Group LLC,6795.75,1,2018,equinor
"Level 3 Comminications, LLC",96121.26,11,2015,equinor
"Level 3 Comminications, LLC",380358.34,15,2016,equinor
"Level 3 Comminications, LLC",494835.8,29,2017,equinor
"Level 3 Comminications, LLC",522936.33,22,2018,equinor
Levy Premium Food Service LLC,40000,2,2015,equinor
Levy Premium Food Service LLC,20000,1,2016,equinor
Levy Premium Food Service LLC,100000,4,2017,equinor
Levy Premium Food Service LLC,90000,4,2018,equinor
"Lewis Glasser Casey & Rollins, PLLC",7236.4,3,2015,equinor
"Lewis Glasser Casey & Rollins, PLLC",490731.56,10,2016,equinor
"Lewis Glasser Casey & Rollins, PLLC",22887.2,13,2017,equinor
"Lexco Data Systems, LP",32637.39,3,2015,equinor
"Lexco Data Systems, LP",43516.5,1,2016,equinor
"Lexco Data Systems, LP",43516.5,1,2017,equinor
"Lexco Data Systems, LP",43516.5,1,2018,equinor
LexisNexis,31965.43,24,2015,equinor
LexisNexis,26217.97,26,2016,equinor
LexisNexis,32846.38,14,2017,equinor
LexisNexis,18530.36,9,2018,equinor
Lexisnexis Risk Data Management Inc,3525.83,11,2017,equinor
Lexisnexis Risk Data Management Inc,1601.6,5,2018,equinor
Lexmark International Technology,0,2,2017,equinor
Lexmark International Technology,1044.88,1,2018,equinor
"Lexmark International, INC.",168368.48,59,2015,equinor
"Lexmark International, INC.",126700.72,34,2016,equinor
"Lexmark International, INC.",103673.99,28,2017,equinor
"Lexmark International, INC.",272986.12,42,2018,equinor
"LGL Ecological Research Associates,",6720,1,2015,equinor
LHI Group Inc dba Piper Maddox,35000,1,2018,equinor
LHR Safety a Division of LHR Servic,24612.17,35,2015,equinor
LHR Safety a Division of LHR Servic,47785.71,53,2016,equinor
LHR Safety a Division of LHR Servic,85981.22,111,2017,equinor
LHR Safety a Division of LHR Servic,100188.7,195,2018,equinor
"Liberty Lift Solutions, LLC",99208.96,2,2015,equinor
"Liberty Lift Solutions, LLC",282113.1,4,2016,equinor
"Liberty Lift Solutions, LLC",363428.1,7,2017,equinor
"Liberty Lift Solutions, LLC",32735.57,3,2018,equinor
Liberty Office Products,976.28,7,2015,equinor
Liberty Office Products,8163.77,29,2016,equinor
Liberty Office Products,15004.69,24,2017,equinor
Liberty Office Products,16044.49,20,2018,equinor
Liberty Oilfield Services LLC,12354920.56,20,2015,equinor
Liberty Oilfield Services LLC,23736.12,8,2016,equinor
Liberty Oilfield Services LLC,8200,1,2017,equinor
Liberty Oilfield Services LLC,8200,1,2018,equinor
Liberty Services,1221529.51,748,2015,equinor
Liberty Services,129463.75,121,2016,equinor
"Lide Industries, LLC",23990,4,2015,equinor
"Lifeline Technologies, LLC",100441.78,6,2018,equinor
"Light Tower Rentals, Inc",4083013.66,375,2015,equinor
"Light Tower Rentals, Inc",462842.47,72,2016,equinor
"Light Tower Rentals, Inc",113900.3,68,2017,equinor
"Light Tower Rentals, Inc",13420.5,13,2018,equinor
"Lindale Pipeline, LLC",4787190.26,69,2015,equinor
"Lindale Pipeline, LLC",1904719.6,66,2016,equinor
"Lindale Pipeline, LLC",2214821.64,74,2017,equinor
"Lindale Pipeline, LLC",3055134.03,80,2018,equinor
"Lindy Paving, Inc",583425.24,5,2015,equinor
"Lindy Paving, Inc",65726.77,3,2016,equinor
"Lindy Paving, Inc",333258.28,3,2017,equinor
"Lindy Paving, Inc",510221.97,9,2018,equinor
Liskow & Lewis,940432.05,100,2015,equinor
Liskow & Lewis,806223.08,178,2016,equinor
Liskow & Lewis,1281129.98,219,2017,equinor
Liskow & Lewis,1370226.68,229,2018,equinor
"LISKOW & LEWIS, APLC",1201.5,1,2016,equinor
Lithicon Australia Pty Ltd,107495,2,2015,equinor
Lithicon Australia Pty Ltd,28350,1,2016,equinor
"Litman Enterprises, LLC",8913.16,33,2015,equinor
"Litman Enterprises, LLC",27530.31,95,2016,equinor
"Litman Enterprises, LLC",87627.57,177,2017,equinor
"Litman Enterprises, LLC",99184.39,138,2018,equinor
Lloyd Hoff Holding Corporation,56743.44,3,2015,equinor
Lloyd Hoff Holding Corporation,31769.26,10,2016,equinor
Lloyd's Register Drilling Integrity,25524.5,2,2015,equinor
"LMK Resources, Inc.",48225.38,1,2016,equinor
Lochend Energy Services Inc.,4147052.84,157,2018,equinor
Locken Consulting Inc,311283.92,174,2015,equinor
Locken Consulting Inc,53600,67,2016,equinor
Loenbro Inc,5878123.47,227,2015,equinor
"Loenbro Inspection, LLC",991245.53,243,2015,equinor
"Loenbro Inspection, LLC",421621.75,149,2016,equinor
"Loenbro Inspection, LLC",898346.25,339,2017,equinor
"Loenbro Inspection, LLC",1195167.5,261,2018,equinor
Lone Star Pipe And Suppy LLC,5444.25,1,2016,equinor
Lone Star Power Solutions LLC,2166.84,2,2018,equinor
Lone Tree Energy & Associates,222765.17,130,2017,equinor
Lone Tree Energy & Associates,278222.89,280,2018,equinor
Lone Wolf Natural Resource Services,142347.97,11,2015,equinor
Lone Wolf Natural Resource Services,9969,1,2016,equinor
Long View Systems,76298.22,8,2016,equinor
"Louisiana Environmental Monitoring,",17088.48,3,2018,equinor
"Louisiana Safety Systems, Inc.",66336.3,3,2015,equinor
"Louisiana Safety Systems, Inc.",110415.98,16,2018,equinor
"Louisiana Valve Source, Inc.",152967.11,10,2015,equinor
"Louisiana Valve Source, Inc.",75142.66,2,2017,equinor
"Louisiana Valve Source, Inc.",19863.92,1,2018,equinor
Low Voltage Intergrators LLC,25376.73,3,2016,equinor
Lower Yellowstone Rural Electric,617154.65,15,2015,equinor
Lower Yellowstone Rural Electric,922770.04,26,2016,equinor
Lower Yellowstone Rural Electric,624296.31,23,2017,equinor
Lower Yellowstone Rural Electric,1043930.42,29,2018,equinor
"LQT Industries, LLC",644240.12,14,2018,equinor
Ludlum Measurements Inc,609.9,2,2016,equinor
Ludlum Measurements Inc,1278.14,7,2017,equinor
Ludlum Measurements Inc,1742.4,1,2018,equinor
Ludwig Enterprises,3348,1,2016,equinor
"Lueras Welding Service, Inc.",73853.26,38,2015,equinor
"Lueras Welding Service, Inc.",59865.05,36,2016,equinor
"Lueras Welding Service, Inc.",373.63,1,2017,equinor
"Lufkin Industries, LLC",14178950.74,1594,2015,equinor
"Lufkin Industries, LLC",3403806.53,1084,2016,equinor
"Lufkin Industries, LLC",950852.04,492,2017,equinor
"Lufkin Industries, LLC",1241879.7,338,2018,equinor
Lund Oil Inc,7948.56,5,2015,equinor
"Lynn Loughney, Executive Coaching &",8125,1,2016,equinor
M Arthur Gensler Jr & Associates In,4200,1,2017,equinor
"M Space Holdings, LLC",5380,2,2016,equinor
"M Space Holdings, LLC",11024,8,2017,equinor
"M&H Enterprises, Inc.",80271.61,2,2017,equinor
"M&H Enterprises, Inc.",61064.51,7,2018,equinor
"M. Arthur Gensler, Jr. & Associates",61077.68,6,2018,equinor
"M.S. Jacobs & Associates, Inc.",68485.32,15,2015,equinor
"M.S. Jacobs & Associates, Inc.",14715.3,6,2016,equinor
"M.S. Jacobs & Associates, Inc.",1953.36,3,2017,equinor
"M2 Subsea Operations, LLC",771177.87,5,2018,equinor
M2M Data Corporation,719.55,3,2016,equinor
M2M Data Corporation,239.85,1,2017,equinor
MAC Automation Inc.,26241.77,7,2016,equinor
MAC Automation Inc.,52353.33,15,2017,equinor
MAC Automation Inc.,51320.29,14,2018,equinor
"Macon Concrete Products, Inc",36103.85,8,2017,equinor
"Macon Concrete Products, Inc",106836.9,30,2018,equinor
Maersk Drilling USA Inc.,197237246.1,97,2015,equinor
Maersk Drilling USA Inc.,12758528.77,17,2016,equinor
Magellan Wind LLC,120000,3,2016,equinor
Magnetic Variation Services LLC,6000,2,2017,equinor
Magnetic Variation Services LLC,35000,9,2018,equinor
Magnum Oil Tools International LTD,93600.29,6,2015,equinor
Magnum Oil Tools International LTD,303783.78,9,2016,equinor
Magnum Oil Tools International LTD,802113.85,35,2017,equinor
Magnum Oil Tools International LTD,849618.39,16,2018,equinor
Magus Engineering Limited,163837.59,21,2015,equinor
"Mail Delivery Service of Stamford,",1800,12,2015,equinor
"Mail Delivery Service of Stamford,",1847.65,12,2016,equinor
"Mail Delivery Service of Stamford,",1735.77,11,2017,equinor
"Mail Delivery Service of Stamford,",1950,13,2018,equinor
Mail Finance A Neopost USA Company,2626.98,2,2015,equinor
MailFinance,24780.07,12,2015,equinor
MailFinance,15928.51,11,2016,equinor
MailFinance,17588.76,9,2017,equinor
MailFinance,4446.86,4,2018,equinor
"Mako Deepwater, Inc. dba Seanic Oce",172798.15,2,2018,equinor
"Mama Fu's 2nd Street, LLC",731.35,3,2016,equinor
"Mama Fu's 2nd Street, LLC",6809.92,24,2017,equinor
"Mama Fu's 2nd Street, LLC",10292.85,41,2018,equinor
Man Diesel & Turbo SE,1591.31,2,2018,equinor
Managed Pressure Operations Pte Ltd,1124470.35,1,2015,equinor
"Manna Distributors, Inc.",81853.24,2,2015,equinor
"Manning Safety Services, Inc.",587.13,1,2016,equinor
"Maple Leaf Marketing, Inc",17892,4,2016,equinor
"Maple Leaf Marketing, Inc",245131.05,53,2017,equinor
"Maple Leaf Marketing, Inc",219647.8,48,2018,equinor
"Marek Brothers Systems, Inc",2730.09,3,2017,equinor
"Marek Brothers Systems, Inc",568.58,1,2018,equinor
Marietta Office Supply,75880.52,157,2015,equinor
Marietta Office Supply,9280.67,57,2016,equinor
Marietta Office Supply,12855.81,55,2017,equinor
Marietta Office Supply,448.76,6,2018,equinor
Marietta Polaris LLC,16065.92,1,2015,equinor
Marine Preservation Association,772949,3,2015,equinor
Marine Preservation Association,37500,1,2016,equinor
"Marine Well Containment Company, LL",39893000,16,2015,equinor
"Marine Well Containment Company, LL",8411000,3,2016,equinor
"Marine Well Containment Company, LL",1530000,3,2017,equinor
"Marine Well Containment Company, LL",6457000,5,2018,equinor
Mark Wold,26299.17,3,2018,equinor
Marks & Clerk LLP,198320.29,12,2017,equinor
Marks & Clerk LLP,113646.88,14,2018,equinor
"Marlatt & Barnwell, PLLC",562.5,1,2018,equinor
Marriott Sugarland Town Square,3000,1,2016,equinor
Marriott Sugarland Town Square,1957.16,1,2017,equinor
Martin Energy Services LLC,2326,3,2015,equinor
"Martin, Disiere, Jefferson &",383298.86,35,2015,equinor
"Martin, Disiere, Jefferson &",147731.55,27,2016,equinor
"Martin, Disiere, Jefferson &",55464.5,27,2017,equinor
"Martin, Disiere, Jefferson &",64831.95,37,2018,equinor
"Martinez A/C & Htg., Inc.",10877.08,20,2018,equinor
"Martlin Distributing, LLC",208435,33,2016,equinor
"Marvin Consulting, Inc.",86930.96,5,2016,equinor
"Marvin Consulting, Inc.",538.21,1,2017,equinor
"Marvin Consulting, Inc.",17916,2,2018,equinor
"Master Flo Valve (USA), Inc.",5478.17,2,2015,equinor
"Master Flo Valve (USA), Inc.",19704.85,1,2017,equinor
"Master Flo Valve (USA), Inc.",133613.41,12,2018,equinor
"Masters Consulting, LLC",24617.95,1,2015,equinor
"Masters Consulting, LLC",36773.18,3,2016,equinor
"Masters Consulting, LLC",80897.91,6,2017,equinor
"Matcor, Inc.",4750.92,1,2016,equinor
Materion Brush,7205.02,1,2017,equinor
Mathena Inc,73056.74,20,2015,equinor
Mathena Inc,53660,11,2016,equinor
"Matthews Lubricants, Inc.",46691.55,4,2015,equinor
"Matthews Lubricants, Inc.",43851.5,6,2016,equinor
"Matthews Lubricants, Inc.",92738.85,8,2017,equinor
"Matthews Lubricants, Inc.",82170.31,8,2018,equinor
"Mattos Filho, Veiga Filho, Marrey J",29757.46,6,2017,equinor
"Mattos Filho, Veiga Filho, Marrey J",29956.68,4,2018,equinor
Maverick Construction Corporation,412994.74,4,2015,equinor
"Maverick International, Ltd",19988.8,1,2018,equinor
Maxoil Solutions Inc,145755.21,4,2015,equinor
"MBA Brands, LLC",29950,1,2018,equinor
MBA Construction LLC,2145105.04,17,2015,equinor
MBF Inspection Services Inc.,5231749.87,1473,2015,equinor
MBF Inspection Services Inc.,2178469.09,892,2016,equinor
