Total_Invoice_Amount	Year	Total_Invoice_Count	Client	Supplier_ref
1389905.000000	2016	10.500000	"con edison"	"moodys investors service"
16665000.760000	2016	3069.250000	"con edison"	"mrc global us"
21513162.050000	2018	3069.250000	"con edison"	"mrc global us"
20560279.440000	2017	3069.250000	"con edison"	"mrc global us"
16665000.760000	2016	3069.250000	"con edison"	"mrc global us"
8640778.660000	2017	17640.250000	"con edison"	"msc industrial supply company"
11709640.660000	2018	17640.250000	"con edison"	"msc industrial supply company"
8893438.070000	2016	17640.250000	"con edison"	"msc industrial supply company"
8893438.070000	2016	17640.250000	"con edison"	"msc industrial supply company"
2166674.700000	2018	200.750000	"con edison"	"mulcare pipeline solutions"
2397479.340000	2016	200.750000	"con edison"	"mulcare pipeline solutions"
2397479.340000	2016	200.750000	"con edison"	"mulcare pipeline solutions"
1535370.910000	2017	200.750000	"con edison"	"mulcare pipeline solutions"
2577267.090000	2016	1352.750000	"con edison"	"national field service corp"
4268824.920000	2017	1352.750000	"con edison"	"national field service corp"
2577267.090000	2016	1352.750000	"con edison"	"national field service corp"
3828488.840000	2018	1352.750000	"con edison"	"national field service corp"
2467508.020000	2017	31.000000	"con edison"	"navigant consulting"
543486.670000	2016	31.000000	"con edison"	"navigant consulting"
543486.670000	2016	31.000000	"con edison"	"navigant consulting"
2072247.050000	2018	31.000000	"con edison"	"navigant consulting"
3712487.650000	2016	437.750000	"con edison"	"nelson services systems"
3712487.650000	2016	437.750000	"con edison"	"nelson services systems"
5133774.410000	2018	437.750000	"con edison"	"nelson services systems"
4436257.530000	2017	437.750000	"con edison"	"nelson services systems"
5589277.330000	2018	196.000000	"con edison"	"nelson tree service"
3942963.310000	2017	196.000000	"con edison"	"nelson tree service"
7141236.920000	2016	196.000000	"con edison"	"nelson tree service"
7141236.920000	2016	196.000000	"con edison"	"nelson tree service"
11644793.550000	2017	266.750000	"con edison"	"network infrastructure"
31292307.170000	2018	266.750000	"con edison"	"network infrastructure"
25191467.950000	2016	266.750000	"con edison"	"network infrastructure"
25191467.950000	2016	266.750000	"con edison"	"network infrastructure"
337599.640000	2016	14.000000	"con edison"	"nexant"
301524.450000	2018	14.000000	"con edison"	"nexant"
337599.640000	2016	14.000000	"con edison"	"nexant"
634664.990000	2017	14.000000	"con edison"	"nexant"
425555.090000	2016	12.750000	"con edison"	"nic holding corp"
