Supplier	Total_Invoice_Amount	Total_Invoice_Count	Year	Client	Record_Count
"ACT Global Consulting Inc"	754931.660000	30.000000	2018	"equinor"	2
"Actenum Corporation"	72849.250000	3.000000	2015	"equinor"	2
"Actenum Corporation"	64950.000000	1.000000	2016	"equinor"	1
"Action Specialties LLC"	28280.250000	10.000000	2015	"equinor"	1
"Active Data Solutions LLC"	758.120000	1.000000	2016	"equinor"	1
"Acuren Inspection, Inc"	35119.600000	18.000000	2018	"equinor"	1
"Adams and Reese LLP"	556916.180000	24.000000	2015	"equinor"	3
"Adams and Reese LLP"	1489121.780000	18.000000	2016	"equinor"	5
"Adams and Reese LLP"	1727243.590000	25.000000	2017	"equinor"	4
"Adams and Reese LLP"	421509.620000	17.000000	2018	"equinor"	5
"Add Energy LLC"	183500.000000	10.000000	2015	"equinor"	2
"ADP, Inc."	290961.290000	93.000000	2015	"equinor"	1
"ADP, Inc."	338726.890000	59.000000	2016	"equinor"	2
"ADP, Inc."	307863.230000	91.000000	2017	"equinor"	3
"ADP, Inc."	252633.590000	50.000000	2018	"equinor"	3
"ADT Security Services"	2039.010000	7.000000	2015	"equinor"	1
"ADT Security Services"	616.990000	1.000000	2016	"equinor"	1
"ADT Security Services"	606.960000	1.000000	2017	"equinor"	1
"Advanced Resources International In"	140000.000000	4.000000	2015	"equinor"	2
"Advanced Resources International In"	231416.890000	5.000000	2016	"equinor"	1
"Advanced Resources International In"	178500.000000	1.000000	2017	"equinor"	1
"Advanced Resources International In"	160000.000000	1.000000	2018	"equinor"	1
"Advanced Sonics, LLC"	20231.010000	2.000000	2017	"equinor"	1
"Advanced Supply Chain International"	752036.880000	27.000000	2015	"equinor"	3
"Advanced Supply Chain International"	2635317.390000	104.000000	2016	"equinor"	6
"Advanced Supply Chain International"	3691488.530000	157.000000	2017	"equinor"	4
"Advanced Supply Chain International"	4303617.790000	152.000000	2018	"equinor"	4
"Advanced Technologies Industrial"	1648032.140000	99.000000	2015	"equinor"	2
"Advanced Technologies Industrial"	20670.000000	1.000000	2016	"equinor"	1
"Advantek Waste Management,"	245687.000000	37.000000	2017	"equinor"	1
"Advantek Waste Management,"	1231632.000000	165.000000	2018	"equinor"	3
"Advokatfirmaet Thommessen AS"	9958.720000	5.000000	2016	"equinor"	1
"Advokatfirmaet Thommessen AS"	4629.740000	7.000000	2017	"equinor"	1
"Advokatfirmaet Thommessen AS"	1353.800000	2.000000	2018	"equinor"	1
"AE2S Construction, LLC"	67815.000000	12.000000	2018	"equinor"	1
"Aerion Rental Services, LLC"	70257.970000	20.000000	2018	"equinor"	1
"AES Drilling Fluids, LLC"	5170406.860000	12.000000	2018	"equinor"	1
"Aetna Behavrioral Health, LLC"	21600.000000	12.000000	2015	"equinor"	1
"Aetna Behavrioral Health, LLC"	21600.000000	12.000000	2016	"equinor"	1
"Aetna Behavrioral Health, LLC"	19800.000000	11.000000	2017	"equinor"	1
"Aetna, Inc."	19572275.510000	12.000000	2015	"equinor"	2
"Aetna, Inc."	18153374.200000	12.000000	2016	"equinor"	1
"Aetna, Inc."	17796381.050000	12.000000	2017	"equinor"	1
"Aetna, Inc."	21281341.690000	38.000000	2018	"equinor"	2
"AFC Transportation"	4134.690000	1.000000	2015	"equinor"	1
"AFMA Inc."	1262.200000	3.000000	2016	"equinor"	1
"Agar Canada Corporation"	70000.000000	2.000000	2017	"equinor"	2
"Aggreko LLC"	243621.090000	64.000000	2015	"equinor"	2
"Aggreko LLC"	6435.870000	2.000000	2016	"equinor"	1
"Aggreko LLC"	44548.510000	4.000000	2017	"equinor"	1
"Aggreko LLC"	201283.730000	11.000000	2018	"equinor"	1
"AGI Industries, Inc"	3896.440000	2.000000	2016	"equinor"	2
"AGI Industries, Inc"	42587.770000	19.000000	2018	"equinor"	1
"Agile Ofis"	14694.960000	1.000000	2016	"equinor"	1
"Agile Ofis"	2899.260000	2.000000	2017	"equinor"	1
"Agile Upstream Group Inc."	159127.500000	1.000000	2018	"equinor"	1
"Ainsworth Trucking, L.P."	605.600000	1.000000	2016	"equinor"	1
"Air and Process Services, LLC"	14966.400000	1.000000	2017	"equinor"	1
"Air and Process Services, LLC"	16587.800000	3.000000	2018	"equinor"	1
"Air Compressor Energy Sys., INC(ACE"	389895.000000	1.000000	2017	"equinor"	1
"Air Compressor Energy Sys., INC(ACE"	10667.250000	2.000000	2018	"equinor"	1
"Air Drilling Associates Inc"	43965.000000	7.000000	2017	"equinor"	2
"Air Drilling Associates Inc"	922560.140000	30.000000	2018	"equinor"	2
"Air Hygiene International, Inc."	27587.500000	8.000000	2016	"equinor"	2
"Air Hygiene International, Inc."	52700.000000	12.000000	2017	"equinor"	2
"Air Hygiene International, Inc."	5600.000000	2.000000	2018	"equinor"	2
"Airdyne International, LTD"	19614.910000	2.000000	2015	"equinor"	1
"Airdyne International, LTD"	61912.790000	2.000000	2016	"equinor"	1
"Airgas On-Site Safety Services, Inc"	30338.540000	8.000000	2015	"equinor"	1
"Airgas On-Site Safety Services, Inc"	7722.500000	2.000000	2016	"equinor"	1
"Airgas On-Site Safety Services, Inc"	900.720000	1.000000	2017	"equinor"	1
"Airgas On-Site Safety Services, Inc"	3889.870000	2.000000	2018	"equinor"	1
"Airgas USA LLC"	2928.280000	6.000000	2015	"equinor"	1
"Airgas USA LLC"	2694.920000	10.000000	2016	"equinor"	3
"Airgas USA LLC"	4229.660000	19.000000	2017	"equinor"	2
"Airgas USA, LLC"	32.950000	1.000000	2016	"equinor"	1
"AJ's Logistic Services, LLC."	3437190.680000	188.000000	2015	"equinor"	5
"AJ's Logistic Services, LLC."	2975459.720000	201.000000	2016	"equinor"	3
"AJ's Logistic Services, LLC."	5506076.360000	308.000000	2017	"equinor"	4
"AJ's Logistic Services, LLC."	3584789.140000	409.000000	2018	"equinor"	5
"Alaska Green Connection Inc."	792.000000	12.000000	2015	"equinor"	2
"Alaska Oil and Gas Association"	90203.000000	4.000000	2015	"equinor"	2
"Alaska Resource Education"	2000.000000	1.000000	2015	"equinor"	1
"Alaskan Energy Resources Inc."	77241.000000	31.000000	2015	"equinor"	1
"Alaskan Energy Resources Inc."	9368.000000	4.000000	2016	"equinor"	1
"Alco Fence Company of Central WV, I"	172204.500000	10.000000	2015	"equinor"	4
"Alco Fence Company of Central WV, I"	20556.000000	2.000000	2016	"equinor"	1
"Alco Valves US, Inc"	5053.000000	1.000000	2015	"equinor"	1
"Alexander Mann Solutions Corporatio"	1232167.000000	23.000000	2015	"equinor"	1
"Alexander Mann Solutions Corporatio"	1005442.000000	34.000000	2016	"equinor"	1
"Alexander Mann Solutions Corporatio"	1180878.000000	18.000000	2017	"equinor"	2
"Alexander Mann Solutions Corporatio"	1454733.000000	16.000000	2018	"equinor"	1
"Alexander/Ryan Marine &"	65666.630000	5.000000	2017	"equinor"	2
"Alexander/Ryan Marine &"	13246.200000	5.000000	2018	"equinor"	1
"Alfa Laval Inc"	21956.980000	2.000000	2017	"equinor"	1
"Align Strategic Partners, LLC"	740473.890000	453.000000	2015	"equinor"	5
"Align Strategic Partners, LLC"	294286.350000	192.000000	2016	"equinor"	4
"All Seasons Corporation"	883.170000	1.000000	2017	"equinor"	1
"All Seasons Corporation"	4897.090000	6.000000	2018	"equinor"	1
"Allen & Kirmse, Ltd"	24412.500000	6.000000	2016	"equinor"	2
"Allen & Kirmse, Ltd"	61189.250000	16.000000	2017	"equinor"	3
"Allen & Kirmse, Ltd"	87449.600000	23.000000	2018	"equinor"	1
"Alliance for Clean Energy New York"	110000.000000	4.000000	2017	"equinor"	1
"Alliance for Clean Energy New York"	60000.000000	2.000000	2018	"equinor"	1
"Alliance for Sustainable Energy LLC"	1717347.070000	7.000000	2016	"equinor"	2
"Alliance for Sustainable Energy LLC"	2072616.190000	17.000000	2017	"equinor"	3
"Alliance for Sustainable Energy LLC"	2716195.830000	19.000000	2018	"equinor"	2
"Allied Oil & Gas Services, LLC"	1115919.040000	53.000000	2015	"equinor"	1
"Allround Automations"	828.000000	1.000000	2016	"equinor"	1
"Allround Automations"	194.850000	1.000000	2017	"equinor"	1
"Allround Automations"	180.000000	1.000000	2018	"equinor"	1
"Allstream Technical Consultants Inc"	3866.400000	1.000000	2018	"equinor"	1
"Almquist Welding And Fab"	35641.000000	42.000000	2015	"equinor"	1
"Alpine Ocean Seismic Survey, Inc."	6435902.980000	8.000000	2018	"equinor"	1
"Altus Intervention USA Inc."	15200.000000	1.000000	2018	"equinor"	1
"Alvarez & Marsal Global Forensic"	210506.190000	4.000000	2018	"equinor"	1
"Alvin's Limousine Services LLc"	3499.000000	5.000000	2015	"equinor"	2
"Alvin's Limousine Services LLc"	3959.000000	8.000000	2016	"equinor"	1
"Alvin's Limousine Services LLc"	408.000000	5.000000	2017	"equinor"	1
"Alvin's Limousine Services LLc"	5142.000000	14.000000	2018	"equinor"	1
"Amazon Web Services LLC"	18885.150000	6.000000	2016	"equinor"	1
"Amazon Web Services LLC"	6659.820000	15.000000	2017	"equinor"	1
"Amazon Web Services LLC"	441.700000	1.000000	2018	"equinor"	1
"Ambius"	1253.530000	4.000000	2015	"equinor"	2
"Ambius"	1331.460000	4.000000	2016	"equinor"	1
"Ambius"	2275.640000	5.000000	2017	"equinor"	1
"Ambius"	1701.330000	3.000000	2018	"equinor"	1
"Ambyint Corporation"	454261.120000	7.000000	2018	"equinor"	3
"AMEC Foster Wheeler Environment &"	34040.000000	1.000000	2015	"equinor"	1
