Total_Invoice_Amount	Year	Total_Invoice_Count	Client	Supplier_ref
16435757.740000	2015	4312.750000	"marathonpetroleum"	"american industrial partners aipb"
8682769.060000	2016	4312.750000	"marathonpetroleum"	"american industrial partners aipb"
20044809.090000	2018	5011202.272500	"marathonpetroleum"	"american industrial partners aipb"
6801053.840000	2017	4312.750000	"marathonpetroleum"	"american industrial partners aipb"
5415213.680000	2017	448.250000	"marathonpetroleum"	"american interiors"
10295291.210000	2016	448.250000	"marathonpetroleum"	"american interiors"
2993501.390000	2018	748375.347500	"marathonpetroleum"	"american interiors"
6095840.920000	2015	448.250000	"marathonpetroleum"	"american interiors"
1720126.580000	2016	319.000000	"marathonpetroleum"	"ametek"
1187840.010000	2015	319.000000	"marathonpetroleum"	"ametek"
542108.860000	2018	135527.215000	"marathonpetroleum"	"ametek"
1519681.890000	2017	319.000000	"marathonpetroleum"	"ametek"
26988.420000	2018	6747.105000	"marathonpetroleum"	"amherst madison"
1278760.100000	2017	50.250000	"marathonpetroleum"	"amherst madison"
5178016.950000	2015	50.250000	"marathonpetroleum"	"amherst madison"
4637161.900000	2016	50.250000	"marathonpetroleum"	"amherst madison"
2746791.130000	2015	655.250000	"marathonpetroleum"	"analytic stress relieving"
926538.700000	2017	655.250000	"marathonpetroleum"	"analytic stress relieving"
6906438.700000	2016	655.250000	"marathonpetroleum"	"analytic stress relieving"
57473.660000	2018	14368.415000	"marathonpetroleum"	"analytic stress relieving"
2452557.660000	2015	27.000000	"marathonpetroleum"	"andrie"
648874.380000	2016	27.000000	"marathonpetroleum"	"andrie"
411668.780000	2017	27.000000	"marathonpetroleum"	"andrie"
8193919.000000	2018	2048479.750000	"marathonpetroleum"	"apache industrial services"
45710.000000	2015	1272.250000	"marathonpetroleum"	"apache industrial services"
5469560.630000	2017	1272.250000	"marathonpetroleum"	"apache industrial services"
6124068.610000	2016	1272.250000	"marathonpetroleum"	"apache industrial services"
1403126.730000	2017	1571.750000	"marathonpetroleum"	"applied industrial technologiesca"
2233791.280000	2016	1571.750000	"marathonpetroleum"	"applied industrial technologiesca"
2333039.840000	2015	1571.750000	"marathonpetroleum"	"applied industrial technologiesca"
1484440.940000	2018	371110.235000	"marathonpetroleum"	"applied industrial technologiesca"
13864442.440000	2015	4964.750000	"marathonpetroleum"	"aptim maintenance"
7910291.010000	2017	4964.750000	"marathonpetroleum"	"aptim maintenance"
11865475.740000	2016	4964.750000	"marathonpetroleum"	"aptim maintenance"
165446.440000	2018	41361.610000	"marathonpetroleum"	"aptim maintenance"
639340.740000	2015	15.250000	"marathonpetroleum"	"arcadian gas"
1250951.100000	2017	15.250000	"marathonpetroleum"	"arcadian gas"
1360682.940000	2016	15.250000	"marathonpetroleum"	"arcadian gas"
1167520.160000	2018	291880.040000	"marathonpetroleum"	"arcadian gas"
14215840.840000	2015	1770.250000	"marathonpetroleum"	"arcadis"
12394343.690000	2016	1770.250000	"marathonpetroleum"	"arcadis"
4998184.460000	2017	1770.250000	"marathonpetroleum"	"arcadis"
4131166.670000	2018	1032791.667500	"marathonpetroleum"	"arcadis"
1864234.180000	2017	21663.000000	"marathonpetroleum"	"arctic glacier usa"
1523770.320000	2015	21663.000000	"marathonpetroleum"	"arctic glacier usa"
2073819.350000	2016	21663.000000	"marathonpetroleum"	"arctic glacier usa"
3131189.400000	2015	323.500000	"marathonpetroleum"	"ardent companies"
1789762.120000	2018	447440.530000	"marathonpetroleum"	"ardent companies"
2212368.780000	2016	323.500000	"marathonpetroleum"	"ardent companies"
1548616.810000	2017	323.500000	"marathonpetroleum"	"ardent companies"
2337486.250000	2017	11355.750000	"marathonpetroleum"	"arg trucking corp"
3015521.660000	2016	11355.750000	"marathonpetroleum"	"arg trucking corp"
2499508.950000	2018	624877.237500	"marathonpetroleum"	"arg trucking corp"
2750100.050000	2015	11355.750000	"marathonpetroleum"	"arg trucking corp"
1746196.540000	2016	105.000000	"marathonpetroleum"	"ari environmental"
213990.720000	2018	53497.680000	"marathonpetroleum"	"ari environmental"
1637582.080000	2017	105.000000	"marathonpetroleum"	"ari environmental"
1405764.350000	2015	105.000000	"marathonpetroleum"	"ari environmental"
4675781.560000	2015	280.250000	"marathonpetroleum"	"aristeo construction co"
5998275.170000	2016	280.250000	"marathonpetroleum"	"aristeo construction co"
7338321.270000	2017	280.250000	"marathonpetroleum"	"aristeo construction co"
1007070.240000	2018	251767.560000	"marathonpetroleum"	"aristeo construction co"
14033103.070000	2015	20.750000	"marathonpetroleum"	"arkel constructors"
3105776.910000	2017	20.750000	"marathonpetroleum"	"arkel constructors"
10651970.700000	2016	20.750000	"marathonpetroleum"	"arkel constructors"
197554.290000	2018	49388.572500	"marathonpetroleum"	"arkel constructors"
3133720.000000	2016	3.250000	"marathonpetroleum"	"arrow tank & engineering company"
1196880.000000	2017	3.250000	"marathonpetroleum"	"arrow tank & engineering company"
285260.000000	2018	71315.000000	"marathonpetroleum"	"arrow tank & engineering company"
